statecountyfp,statefp,countyfp,unemp,dest,countyns,name,period
1001,1,1,5.4941177,-3.6931722,161526,Autauga,2003-2019
1003,1,3,5.7235293,-4.2879858,161527,Baldwin,2003-2019
1005,1,5,8.6176472,2.1470518,161528,Barbour,2003-2019
1007,1,7,6.8588233,.57187539,161529,Bibb,2003-2019
1009,1,9,5.5529413,1.1737225,161530,Blount,2003-2019
1011,1,11,9.5470591,-.54933006,161531,Bullock,2003-2019
1013,1,13,8.7941179,.74452692,161532,Butler,2003-2019
1015,1,15,6.864706,-1.1217211,161533,Calhoun,2003-2019
1017,1,17,8.3588238,3.4945998,161534,Chambers,2003-2019
1019,1,19,6.0588236,-.85466307,161535,Cherokee,2003-2019
1021,1,21,5.8352942,-.38722619,161536,Chilton,2003-2019
1023,1,23,8.8941174,1.9652091,161537,Choctaw,2003-2019
1025,1,25,11.064706,.18310858,161538,Clarke,2003-2019
1027,1,27,7.635294,.29901999,161539,Clay,2003-2019
1029,1,29,6.170588,.71141368,161540,Cleburne,2003-2019
1031,1,31,5.7647057,-3.0077276,161541,Coffee,2003-2019
1033,1,33,7.4647059,-1.0854394,161542,Colbert,2003-2019
1035,1,35,9.7588234,-1.3612978,161543,Conecuh,2003-2019
1037,1,37,8.2882357,.28571004,161544,Coosa,2003-2019
1039,1,39,6.829412,.061575659,161545,Covington,2003-2019
1041,1,41,6.5764704,2.3198879,161546,Crenshaw,2003-2019
1043,1,43,5.8823528,-1.1660857,161547,Cullman,2003-2019
1045,1,45,6.1058822,-5.9006305,161548,Dale,2003-2019
1047,1,47,11.188235,2.2447944,161549,Dallas,2003-2019
1049,1,49,6.9294119,1.1763812,161550,DeKalb,2003-2019
1051,1,51,5.4529409,-1.5010495,161551,Elmore,2003-2019
1053,1,53,7.8000002,.012277399,161552,Escambia,2003-2019
1055,1,55,6.7235293,-1.6269556,161553,Etowah,2003-2019
1057,1,57,7.5117645,.28292832,161554,Fayette,2003-2019
1059,1,59,7.4823527,.45140201,161555,Franklin,2003-2019
1061,1,61,6.0705881,.65890801,161556,Geneva,2003-2019
1063,1,63,10.352942,-.54891807,161557,Greene,2003-2019
1065,1,65,8.8000002,1.6924374,161558,Hale,2003-2019
1067,1,67,6.852941,.10506772,161559,Henry,2003-2019
1069,1,69,5.7705884,1.4100753,161560,Houston,2003-2019
1071,1,71,7.0999999,1.9125746,161561,Jackson,2003-2019
1073,1,73,6.0823531,.49079472,161562,Jefferson,2003-2019
1075,1,75,7.6411767,7.0009184,161563,Lamar,2003-2019
1077,1,77,6.7823529,-1.2961565,161564,Lauderdale,2003-2019
1079,1,79,7.4352942,-.13752146,161565,Lawrence,2003-2019
1081,1,81,5.4235296,-4.3709617,161566,Lee,2003-2019
1083,1,83,5.7176471,-.35292083,161567,Limestone,2003-2019
1085,1,85,11.523529,1.6899445,161568,Lowndes,2003-2019
1087,1,87,8.3000002,-1.5715114,161569,Macon,2003-2019
1089,1,89,5.2764707,-4.5501504,161570,Madison,2003-2019
1091,1,91,7.8764706,-.19145073,161572,Marengo,2003-2019
1093,1,93,7.7529411,1.7428775,161573,Marion,2003-2019
1095,1,95,5.8941178,.14703679,161574,Marshall,2003-2019
1097,1,97,7.0823531,-.37537125,161575,Mobile,2003-2019
1099,1,99,10.158824,3.48455,161576,Monroe,2003-2019
1101,1,101,6.329412,-1.3715241,161577,Montgomery,2003-2019
1103,1,103,6.2941175,-.73174554,161578,Morgan,2003-2019
1105,1,105,11.488235,2.5025921,161579,Perry,2003-2019
1107,1,107,8,1.123192,161580,Pickens,2003-2019
1109,1,109,6.3000002,-3.5470767,161581,Pike,2003-2019
1111,1,111,7.4764705,4.1123104,161582,Randolph,2003-2019
1113,1,113,7.1999998,-1.4051125,161583,Russell,2003-2019
1115,1,115,5.6999998,-3.1196747,164997,St. Clair,2003-2019
1117,1,117,4.2352943,-4.7952728,161584,Shelby,2003-2019
1119,1,119,9.0823526,.51021934,161585,Sumter,2003-2019
1121,1,121,7.7058825,.38949811,161586,Talladega,2003-2019
1123,1,123,7.3235292,2.7795129,161587,Tallapoosa,2003-2019
1125,1,125,5.5882354,-1.1480623,161588,Tuscaloosa,2003-2019
1127,1,127,7.2058825,-.94211352,161589,Walker,2003-2019
1129,1,129,9.5352945,-2.5871453,161590,Washington,2003-2019
1131,1,131,15.164706,-.37165409,161591,Wilcox,2003-2019
1133,1,133,8.6882353,.33502373,161592,Winston,2003-2019
4001,4,1,13.117647,-.68728769,25441,Apache,2003-2019
4003,4,3,6.682353,-2.4071889,25442,Cochise,2003-2019
4005,4,5,6.4764705,-2.1362987,25443,Coconino,2003-2019
4007,4,7,7.829412,-2.0089128,40471,Gila,2003-2019
4009,4,9,7.6117649,-1.2818798,25444,Graham,2003-2019
4011,4,11,7.5176473,-9.5788717,42807,Greenlee,2003-2019
4012,4,12,7.3470588,-1.52077,43540,La Paz,2003-2019
4013,4,13,5.6529412,-2.6293366,37026,Maricopa,2003-2019
4015,4,15,7.5411763,-2.3471296,25445,Mohave,2003-2019
4017,4,17,10.205882,-2.0733118,42808,Navajo,2003-2019
4019,4,19,5.864706,-2.5285702,25446,Pima,2003-2019
4021,4,21,7.0882354,-3.1750782,25447,Pinal,2003-2019
4023,4,23,11.4,-1.5737617,40472,Santa Cruz,2003-2019
4025,4,25,6.2411766,-2.9943554,42809,Yavapai,2003-2019
4027,4,27,19.470589,-3.771966,23901,Yuma,2003-2019
5001,5,1,7.6764708,1.327657,63755,Arkansas,2003-2019
5003,5,3,8.4588232,2.2274697,63756,Ashley,2003-2019
5005,5,5,6.4176469,-2.6936767,69895,Baxter,2003-2019
5007,5,7,4.2352943,-10.229413,69896,Benton,2003-2019
5009,5,9,5.6176472,-1.62465,69897,Boone,2003-2019
5011,5,11,7.5705881,1.4607613,63757,Bradley,2003-2019
5013,5,13,6.6941175,2.0135357,63758,Calhoun,2003-2019
5015,5,15,4.9058824,.73079097,66975,Carroll,2003-2019
5017,5,17,9.5705881,2.4216123,69160,Chicot,2003-2019
5019,5,19,6.4470587,-.31917757,66845,Clark,2003-2019
5021,5,21,8.1999998,2.1767507,63759,Clay,2003-2019
5023,5,23,6.3941178,.77940595,66983,Cleburne,2003-2019
5025,5,25,6.2235293,.93663538,63760,Cleveland,2003-2019
5027,5,27,7.0529413,.084589213,63761,Columbia,2003-2019
5029,5,29,6.4529409,-.08016891,66846,Conway,2003-2019
5031,5,31,5.2117648,-3.2279921,66847,Craighead,2003-2019
5033,5,33,5.5823531,-.99549931,69161,Crawford,2003-2019
5035,5,35,7.1941175,.80797321,69162,Crittenden,2003-2019
5037,5,37,6.6882353,.38613605,66848,Cross,2003-2019
5039,5,39,7.8882351,.391507,66849,Dallas,2003-2019
5041,5,41,8.4823532,1.1040287,66850,Desha,2003-2019
5043,5,43,8.0764704,3.226701,66851,Drew,2003-2019
5045,5,45,5.1176472,-4.3080745,66852,Faulkner,2003-2019
5047,5,47,5.2235293,.24001934,66853,Franklin,2003-2019
5049,5,49,5.8117647,.86209333,66854,Fulton,2003-2019
5051,5,51,6.0705881,-1.9932895,66855,Garland,2003-2019
5053,5,53,5.2647057,-.10806596,66856,Grant,2003-2019
5055,5,55,6.5352941,-2.8220336,66857,Greene,2003-2019
5057,5,57,5.8470588,-.2524628,66858,Hempstead,2003-2019
5059,5,59,5.9882355,-1.0936689,66859,Hot Spring,2003-2019
5061,5,61,5.5176473,1.5095397,66872,Howard,2003-2019
5063,5,63,6.7058825,1.4428123,69163,Independence,2003-2019
5065,5,65,7.2058825,-.35308725,66860,Izard,2003-2019
5067,5,67,8.5411768,2.1563535,66861,Jackson,2003-2019
5069,5,69,7.9764705,2.1604233,66862,Jefferson,2003-2019
5071,5,71,5.7588234,.29740325,66863,Johnson,2003-2019
5073,5,73,7.2941175,1.0854396,66864,Lafayette,2003-2019
5075,5,75,7.1529412,.17204024,66865,Lawrence,2003-2019
5077,5,77,8.3705883,.36325496,66866,Lee,2003-2019
5079,5,79,7.3588233,.13535561,66873,Lincoln,2003-2019
5081,5,81,5.4823527,.011544551,66874,Little River,2003-2019
5083,5,83,6.0411763,-.73703313,82850,Logan,2003-2019
5085,5,85,4.7823529,-.72296232,69164,Lonoke,2003-2019
5087,5,87,4.4647059,-1.6368135,69165,Madison,2003-2019
5089,5,89,6.4529409,3.7511857,69898,Marion,2003-2019
5091,5,91,5.0470591,-.63158166,69166,Miller,2003-2019
5093,5,93,9.3999996,1.1459209,69899,Mississippi,2003-2019
5095,5,95,6.9176469,1.5771815,69167,Monroe,2003-2019
5097,5,97,6.2470589,.53307527,69168,Montgomery,2003-2019
5099,5,99,6.1058822,-.61871892,69169,Nevada,2003-2019
5101,5,101,5.6058822,.25210419,69900,Newton,2003-2019
5103,5,103,7.3352942,-.078509852,69170,Ouachita,2003-2019
5105,5,105,6.3882351,-.19849923,69171,Perry,2003-2019
